iter	Passed	Remaining
381	1191	1927
382	1194	1923
383	1196	1919
384	1200	1916
385	1202	1913
386	1206	1911
387	1209	1908
388	1213	1905
389	1216	1902
390	1220	1901
391	1224	1899
392	1227	1896
393	1230	1892
394	1233	1888
395	1235	1885
396	1239	1882
397	1242	1879
398	1245	1875
399	1248	1872
400	1250	1867
401	1253	1864
402	1255	1860
403	1258	1856
404	1261	1852
405	1264	1849
406	1267	1846
407	1269	1842
408	1273	1840
409	1276	1836
410	1279	1833
411	1282	1829
412	1285	1826
413	1288	1824
414	1291	1820
415	1294	1817
416	1297	1813
417	1300	1810
418	1303	1807
419	1306	1804
420	1310	1802
421	1313	1799
422	1316	1796
423	1320	1793
424	1324	1791
425	1327	1788
426	1330	1785
427	1333	1782
428	1353	1802
429	1356	1797
430	1359	1794
431	1361	1790
432	1365	1788
433	1368	1785
434	1372	1782
435	1375	1779
436	1378	1775
437	1381	1772
438	1384	1769
439	1387	1766
440	1391	1763
441	1394	1759
442	1396	1756
443	1400	1753
444	1402	1749
445	1406	1746
446	1408	1742
447	1412	1740
448	1415	1736
449	1418	1733
450	1422	1731
451	1425	1728
452	1428	1725
453	1431	1721
454	1433	1717
455	1436	1713
456	1439	1710
457	1442	1706
458	1444	1702
459	1447	1699
460	1450	1695
461	1453	1692
462	1456	1688
463	1459	1685
464	1461	1682
465	1465	1678
466	1467	1675
467	1470	1671
468	1473	1668
469	1476	1665
470	1479	1661
471	1482	1658
472	1485	1655
473	1488	1651
474	1491	1648
475	1493	1644
476	1497	1641
477	1500	1638
478	1503	1635
479	1506	1632
480	1510	1629
481	1513	1626
482	1516	1623
483	1519	1620
484	1522	1616
485	1525	1613
486	1528	1609
487	1530	1606
488	1533	1602
489	1536	1598
490	1538	1595
491	1542	1592
492	1544	1588
493	1547	1584
494	1549	1581
495	1553	1578
496	1556	1574
497	1559	1572
498	1562	1568
499	1564	1564
500	1567	1561
501	1571	1558
502	1573	1555
503	1576	1551
504	1579	1548
505	1582	1545
506	1585	1541
507	1587	1537
508	1590	1534
509	1593	1531
510	1597	1528
511	1600	1525
512	1602	1521
513	1606	1518
514	1609	1515
515	1612	1512
516	1615	1509
517	1618	1505
518	1621	1502
519	1623	1498
520	1628	1496
521	1630	1493
522	1633	1490
523	1636	1486
524	1639	1483
525	1642	1479
526	1645	1476
527	1647	1473
528	1650	1469
529	1652	1465
530	1656	1463
531	1659	1459
532	1662	1456
533	1665	1453
534	1668	1450
535	1671	1447
536	1675	1444
537	1677	1440
538	1680	1437
539	1682	1433
540	1685	1430
541	1689	1427
542	1692	1424
543	1695	1421
544	1699	1418
545	1702	1415
546	1706	1413
547	1709	1410
548	1712	1407
549	1716	1404
550	1718	1400
551	1722	1397
552	1730	1398
553	1733	1395
554	1736	1392
555	1739	1389
556	1742	1385
557	1745	1382
558	1748	1379
559	1752	1376
560	1755	1373
561	1758	1370
562	1761	1367
563	1764	1363
564	1767	1360
565	1770	1357
566	1773	1354
567	1776	1351
568	1779	1348
569	1782	1344
570	1786	1342
571	1790	1339
572	1794	1337
573	1797	1334
574	1800	1330
575	1803	1327
576	1806	1324
577	1810	1321
578	1813	1318
579	1816	1315
580	1819	1312
581	1821	1308
582	1824	1305
583	1827	1301
584	1829	1298
585	1832	1294
586	1835	1291
587	1838	1288
588	1840	1284
589	1843	1281
590	1847	1278
591	1850	1275
592	1854	1272
593	1857	1269
594	1860	1266
595	1863	1263
596	1866	1260
597	1869	1256
598	1872	1253
599	1875	1250
600	1878	1246
601	1880	1243
602	1883	1240
603	1886	1236
604	1889	1233
605	1892	1230
606	1895	1226
607	1897	1223
608	1901	1220
609	1903	1217
610	1906	1213
611	1909	1210
612	1912	1207
613	1914	1203
614	1917	1200
615	1919	1196
616	1922	1193
617	1925	1190
618	1927	1186
619	1930	1183
620	1934	1180
621	1937	1177
622	1941	1174
623	1944	1171
624	1948	1169
625	1951	1166
626	1955	1163
627	1957	1159
628	1960	1156
629	1964	1153
630	1967	1150
631	1971	1147
632	1973	1144
633	1976	1141
634	1979	1137
635	1982	1134
636	1985	1131
637	1994	1131
638	1997	1128
639	2001	1125
640	2009	1125
641	2012	1122
642	2015	1118
643	2018	1115
644	2020	1112
645	2024	1109
646	2026	1105
647	2029	1102
648	2032	1099
649	2035	1095
650	2038	1092
651	2041	1089
652	2044	1086
653	2047	1083
654	2050	1080
655	2053	1077
656	2057	1073
657	2059	1070
658	2062	1067
659	2065	1063
660	2068	1060
661	2071	1057
662	2074	1054
663	2077	1051
664	2080	1048
665	2083	1044
666	2086	1041
667	2089	1038
668	2091	1034
669	2094	1031
670	2097	1028
671	2100	1025
672	2102	1021
673	2111	1021
674	2113	1017
675	2117	1014
676	2119	1011
677	2122	1007
678	2125	1004
679	2128	1001
680	2131	998
681	2133	994
682	2136	991
683	2139	988
684	2149	988
685	2158	987
686	2168	987
687	2171	984
688	2174	981
689	2177	978
690	2180	974
691	2184	972
692	2188	969
693	2192	966
694	2196	963
695	2199	960
696	2201	957
697	2204	953
698	2207	950
699	2209	947
700	2212	943
701	2215	940
702	2217	936
703	2220	933
704	2223	930
705	2225	926
706	2229	923
707	2231	920
708	2234	917
709	2237	913
710	2240	910
711	2243	907
712	2245	904
713	2248	900
714	2251	897
715	2253	893
716	2256	890
717	2259	887
718	2262	884
719	2264	880
720	2267	877
721	2270	874
722	2273	870
723	2275	867
724	2278	864
725	2281	860
726	2283	857
727	2286	854
728	2289	850
729	2292	847
730	2294	844
731	2297	841
732	2300	837
733	2303	834
734	2305	831
735	2308	828
736	2310	824
737	2313	821
738	2315	817
739	2319	814
740	2322	811
741	2324	808
742	2327	805
743	2330	801
744	2333	798
745	2335	795
746	2338	792
747	2341	788
748	2343	785
749	2346	782
750	2349	779
751	2352	775
752	2354	772
753	2357	769
754	2359	765
755	2362	762
756	2364	759
757	2367	755
758	2370	752
759	2373	749
760	2375	746
761	2378	742
762	2380	739
763	2383	736
764	2386	733
765	2389	729
766	2391	726
767	2394	723
768	2397	720
769	2399	716
770	2401	713
771	2404	710
772	2407	707
773	2410	703
774	2413	700
775	2416	697
776	2419	694
777	2421	691
778	2424	687
779	2426	684
780	2429	681
781	2432	678
782	2435	674
783	2438	671
784	2442	668
785	2444	665
786	2447	662
787	2450	659
788	2452	655
789	2455	652
790	2457	649
791	2461	646
792	2463	643
793	2467	640
794	2471	637
795	2475	634
796	2477	631
797	2480	627
798	2483	624
799	2486	621
800	2489	618
801	2492	615
802	2495	612
803	2499	609
804	2502	606
805	2504	602
806	2507	599
807	2510	596
808	2513	593
809	2516	590
810	2519	587
811	2522	583
812	2524	580
813	2527	577
814	2530	574
815	2533	571
816	2535	568
817	2538	564
818	2541	561
819	2543	558
820	2546	555
821	2549	552
822	2552	548
823	2555	545
824	2558	542
825	2560	539
826	2563	536
827	2566	533
828	2569	529
829	2571	526
830	2574	523
831	2576	520
832	2579	517
833	2582	513
834	2585	510
835	2588	507
836	2590	504
837	2593	501
838	2596	498
839	2599	495
840	2602	491
841	2604	488
842	2607	485
843	2610	482
844	2613	479
845	2616	476
846	2618	473
847	2621	469
848	2623	466
849	2627	463
850	2630	460
851	2633	457
852	2636	454
853	2639	451
854	2641	448
855	2645	445
856	2648	441
857	2651	438
858	2654	435
859	2656	432
860	2659	429
861	2663	426
862	2665	423
863	2668	420
864	2670	416
865	2673	413
866	2676	410
867	2680	407
868	2682	404
869	2685	401
870	2687	398
871	2690	394
872	2693	391
873	2695	388
874	2698	385
875	2700	382
876	2703	379
877	2706	376
878	2709	372
879	2712	369
880	2714	366
881	2717	363
882	2720	360
883	2723	357
884	2726	354
885	2728	351
886	2730	347
887	2733	344
888	2736	341
889	2739	338
890	2741	335
891	2744	332
892	2746	329
893	2750	326
894	2753	323
895	2756	319
896	2759	316
897	2761	313
898	2764	310
899	2767	307
900	2770	304
901	2773	301
902	2775	298
903	2778	295
904	2780	291
905	2783	288
906	2786	285
907	2789	282
908	2791	279
909	2794	276
910	2796	273
911	2799	270
912	2802	267
913	2806	264
914	2808	260
915	2811	257
916	2814	254
917	2817	251
918	2820	248
919	2822	245
920	2826	242
921	2829	239
922	2831	236
923	2834	233
924	2837	230
925	2839	226
926	2842	223
927	2844	220
928	2847	217
929	2850	214
930	2853	211
931	2856	208
932	2859	205
933	2862	202
934	2865	199
935	2868	196
936	2870	193
937	2873	189
938	2875	186
939	2878	183
940	2881	180
941	2883	177
942	2886	174
943	2889	171
944	2892	168
945	2895	165
946	2899	162
947	2902	159
948	2905	156
949	2908	153
950	2910	149
951	2914	146
952	2916	143
953	2918	140
954	2921	137
955	2923	134
956	2926	131
957	2929	128
958	2932	125
959	2934	122
960	2937	119
961	2939	116
962	2943	113
963	2946	110
964	2948	106
965	2951	103
966	2954	100
967	2957	97
968	2959	94
969	2962	91
970	2964	88
971	2967	85
972	2969	82
973	2972	79
974	2975	76
975	2978	73
976	2980	70
977	2983	67
978	2986	64
979	2989	61
980	2991	57
981	2994	54
982	2996	51
983	2998	48
984	3001	45
985	3004	42
986	3007	39
987	3009	36
988	3013	33
989	3015	30
990	3018	27
991	3021	24
992	3024	21
993	3027	18
994	3029	15
995	3032	12
996	3035	9
997	3038	6
998	3041	3
999	3043	0
